Model Group 1: In situ AOPs

  Kd from PRR-800 (Hochberg et al. 2020)
  bb from ECO-VSF-3
  
  Kd score range: [0.01688 3.17231]
  bb score range: [0 0.41123]
  
  Variance explained by 1st principal component
  Kd: 95.6%
  bb: 99.9%

wl,Kd_coef,Kd_SmithBaker,bb_coef,bb_min
571.6470129,0.0589040130460832,0.0835073828751954,0.089020866721209,0.000423253348837275
574.4816563,0.0585486808187454,0.0905440969056324,0.0886341798895476,0.000422500903079711
577.316356,0.0582956402538636,0.0995442602098357,0.0882492203570735,0.000421749780090241
580.1511118,0.0581541466111497,0.109550913404087,0.0878659801871031,0.000420999977621261
582.985924,0.0581336826066488,0.120847379348006,0.0874844514134257,0.0004202514932969
585.8207923,0.0582435161274497,0.13424982127049,0.0871046262103254,0.000419504324910304
588.6557169,0.0584928342299388,0.149830518809396,0.086726496715909,0.000418758470124717
591.4906978,0.058906027628259,0.168862125829518,0.0863500551166208,0.000418013926655425
594.3257348,0.0594967802733395,0.195183420300379,0.0859752936625083,0.000417270692274038
597.1608282,0.0602434143615437,0.222920775001383,0.0856022045745364,0.000416528764624991
